Phenophase_ID,common_name,current_forecast_version,download_date,download_source,n_observations,observation_downloaded,observation_file,occurences_downloaded,range_map_made,species,season_start_doy,season_end_doy
501,velvet mesquite,3,2018-07-08,local,29,TRUE,prosopis_velutina_501.csv,no,no,prosopis velutina,-31,180
371,American plum,3,2018-07-08,local,33,TRUE,prunus_americana_371.csv,no,no,prunus americana,-31,180
501,American plum,3,2018-07-08,local,31,TRUE,prunus_americana_501.csv,no,no,prunus americana,-31,180
371,beach plum,3,2018-07-08,local,18,TRUE,prunus_maritima_371.csv,no,no,prunus maritima,-31,180
501,beach plum,3,2018-07-08,local,41,TRUE,prunus_maritima_501.csv,no,no,prunus maritima,-31,180
371,peach,3,2018-07-08,local,29,TRUE,prunus_persica_371.csv,no,no,prunus persica,-31,180
501,peach,3,2018-07-08,local,27,TRUE,prunus_persica_501.csv,no,no,prunus persica,-31,180
371,black cherry,3,2018-07-08,local,205,TRUE,prunus_serotina_371.csv,no,no,prunus serotina,-31,180
501,black cherry,3,2018-07-08,local,195,TRUE,prunus_serotina_501.csv,no,no,prunus serotina,-31,180
498,black cherry,3,2018-07-08,local,153,TRUE,prunus_serotina_498.csv,no,no,prunus serotina,180,320
371,chokecherry,3,2018-07-08,local,120,TRUE,prunus_virginiana_371.csv,no,no,prunus virginiana,-31,180
501,chokecherry,3,2018-07-08,local,134,TRUE,prunus_virginiana_501.csv,no,no,prunus virginiana,-31,180
498,chokecherry,3,2018-07-08,local,91,TRUE,prunus_virginiana_498.csv,no,no,prunus virginiana,180,320
501,eastern pasqueflower,3,2018-07-08,local,27,TRUE,pulsatilla_patens_501.csv,no,no,pulsatilla patens,-31,180
371,California live oak,3,2018-07-08,local,112,TRUE,quercus_agrifolia_371.csv,no,no,quercus agrifolia,-31,180
501,California live oak,3,2018-07-08,local,132,TRUE,quercus_agrifolia_501.csv,no,no,quercus agrifolia,-31,180
371,white oak,3,2018-07-08,local,207,TRUE,quercus_alba_371.csv,no,no,quercus alba,-31,180
501,white oak,3,2018-07-08,local,106,TRUE,quercus_alba_501.csv,no,no,quercus alba,-31,180
498,white oak,3,2018-07-08,local,207,TRUE,quercus_alba_498.csv,no,no,quercus alba,180,320
371,blue oak,3,2018-07-08,local,47,TRUE,quercus_douglasii_371.csv,no,no,quercus douglasii,-31,180
501,blue oak,3,2018-07-08,local,60,TRUE,quercus_douglasii_501.csv,no,no,quercus douglasii,-31,180
498,blue oak,3,2018-07-08,local,28,TRUE,quercus_douglasii_498.csv,no,no,quercus douglasii,-31,180
371,Gambel oak,3,2018-07-08,local,55,TRUE,quercus_gambelii_371.csv,no,no,quercus gambelii,-31,180
498,Gambel oak,3,2018-07-08,local,148,TRUE,quercus_gambelii_498.csv,no,no,quercus gambelii,180,320
371,laurel oak,3,2018-07-08,local,24,TRUE,quercus_laurifolia_371.csv,no,no,quercus laurifolia,-31,180
371,valley oak,3,2018-07-08,local,119,TRUE,quercus_lobata_371.csv,no,no,quercus lobata,-31,180
501,valley oak,3,2018-07-08,local,105,TRUE,quercus_lobata_501.csv,no,no,quercus lobata,-31,180
498,valley oak,3,2018-07-08,local,64,TRUE,quercus_lobata_498.csv,no,no,quercus lobata,180,320
371,bur oak,3,2018-07-08,local,87,TRUE,quercus_macrocarpa_371.csv,no,no,quercus macrocarpa,-31,180
501,bur oak,3,2018-07-08,local,29,TRUE,quercus_macrocarpa_501.csv,no,no,quercus macrocarpa,-31,180
498,bur oak,3,2018-07-08,local,61,TRUE,quercus_macrocarpa_498.csv,no,no,quercus macrocarpa,180,320
371,pin oak,3,2018-07-08,local,39,TRUE,quercus_palustris_371.csv,no,no,quercus palustris,-31,180
501,pin oak,3,2018-07-08,local,32,TRUE,quercus_palustris_501.csv,no,no,quercus palustris,-31,180
498,pin oak,3,2018-07-08,local,52,TRUE,quercus_palustris_498.csv,no,no,quercus palustris,180,320
371,northern red oak,3,2018-07-08,local,272,TRUE,quercus_rubra_371.csv,no,no,quercus rubra,-31,180
501,northern red oak,3,2018-07-08,local,151,TRUE,quercus_rubra_501.csv,no,no,quercus rubra,-31,180
498,northern red oak,3,2018-07-08,local,246,TRUE,quercus_rubra_498.csv,no,no,quercus rubra,180,320
371,black oak,3,2018-07-08,local,45,TRUE,quercus_velutina_371.csv,no,no,quercus velutina,-31,180
501,black oak,3,2018-07-08,local,22,TRUE,quercus_velutina_501.csv,no,no,quercus velutina,-31,180
498,black oak,3,2018-07-08,local,50,TRUE,quercus_velutina_498.csv,no,no,quercus velutina,180,320
371,live oak,3,2018-07-08,local,37,TRUE,quercus_virginiana_371.csv,no,no,quercus virginiana,-31,180
501,live oak,3,2018-07-08,local,12,TRUE,quercus_virginiana_501.csv,no,no,quercus virginiana,-31,180
371,Pacific rhododendron,3,2018-07-08,local,47,TRUE,rhododendron_macrophyllum_371.csv,no,no,rhododendron macrophyllum,-31,180
501,Pacific rhododendron,3,2018-07-08,local,46,TRUE,rhododendron_macrophyllum_501.csv,no,no,rhododendron macrophyllum,-31,180
